ID_PRODUCTO	DESCRIPCIÓN DE PRODUCTO
P0103	CARBAMAZEPINA - 200 MG. - TABLETA - GENERICO
P0096	TIAMINA - 100 MG. - TABLETA RECUBIERTA - TIAMINA
P0104	LIDOCAINA - 2%/ 20 ML S/EPINE C/PRES (ROJO) - SOLUCION INYECTABLE - LIDOCAINA
P0030	RISPERIDONA - 2 MG - TABLETA RECUBIERTA - ZOFRECAD
P0030	RISPERIDONA - 2 MG - TABLETA RECUBIERTA - ZOFRECAD
P0030	RISPERIDONA - 2 MG - TABLETA RECUBIERTA - ZOFRECAD
P0013	NIFEDIPINO - 10 MG - TABLETA - NIFEDIPINO
P0085	INDOMETACINA - 25 MG  - CAPSULA - IMECAD
P0052	LEVETIRACETAM - 500 MG. - COMPRIMIDO RECUBIERTO - LEVEVITAE
P0095	ALPROSTADIL - 500 MCG/ML X 1 ML - SOLUCION INYECTABLE - ALPOSCAD 500
P0105	HIDROCORTISONA - 20 MG. - TABLETA - HIDROCORTISONA
P0021	ATENOLOL - 100 MG. - TABLETA - ATENOLOL
P0061	OXACILINA - 1 G INY  - POLVO PARA SOLUCION INYECTABLE - OXACILINA
P0028	FLUFENAZINA DECANOATO - 25 MG/ML INY 1ML - SOLUCION INYECTABLE
P0106	TIAMAZOL - 20 MG - TABLETA - TAPAZOL
P0106	TIAMAZOL - 20 MG - TABLETA - TAPAZOL
P0016	FENOBARBITAL - 100 MG - TABLETA - FENOBARBITAL
P0058	HIPROMELOSA - 0.3% SOL OFT 15ML - SOLUCION OFTALMICA - HIPROMELOSA
P0058	HIPROMELOSA - 0.3% SOL OFT 15ML - SOLUCION OFTALMICA - HIPROMELOSA
P0081	BISACODILO - 5 MG - TABLETA DE LIBERACION RETARDADA - BISCAD
P0084	CLINDAMICINA (COMO CLORHIDRATO) - 300 MG - CAPSULA
P0058	HIPROMELOSA - 0.3% SOL OFT 15ML - SOLUCION OFTALMICA - HIPROMELOSA
P0058	HIPROMELOSA - 0.3% SOL OFT 15ML - SOLUCION OFTALMICA - HIPROMELOSA
P0081	BISACODILO - 5 MG - TABLETA DE LIBERACION RETARDADA - BISCAD
P0107	NITROFURANTOINA - 100 MG - TABLETA - UROFURIN
P0085	INDOMETACINA - 25 MG  - CAPSULA - IMECAD
P0085	INDOMETACINA - 25 MG  - CAPSULA - IMECAD
P0058	HIPROMELOSA - 0.3% SOL OFT 15ML - SOLUCION OFTALMICA - HIPROMELOSA
P0084	CLINDAMICINA (COMO CLORHIDRATO) - 300 MG - CAPSULA
P0041	CIPROFLOXACINO CLORHIDRATO - 0.3% - 5 ML  - SOLUCION OFTALMICA - FLOXICAD
